line_id,lat,lng,title,color,description
khat-ethiopian-origin,9.31,42.13,"LAYER 1 — Historical Trade: Ethiopian highland origin",#8B4513,"Harar Ethiopia — Catha edulis cultivated 1,000+ years. 13th-century Sufi accounts describe evening chewing sessions."
khat-ethiopian-origin,9.03,38.75,"LAYER 1 — Historical Trade: Ethiopian highland origin",#8B4513,"Addis Ababa — central trade hub. Ethiopia's #2 foreign-exchange earner after coffee."
khat-yemen-spread,15.35,44.21,"LAYER 1 — Historical Trade: Yemeni highland cultivation",#8B4513,"Sana'a Yemen — khat chewing session ('tafrita') is central to social + political life. Estimated 70% of water use in Yemen goes to khat cultivation."
khat-yemen-spread,12.79,45.03,"LAYER 1 — Historical Trade: Yemeni highland cultivation",#8B4513,"Aden — historical British colonial port; khat trade regulated under Empire."
khat-horn-africa,9.56,44.07,"LAYER 1 — Historical Trade: Horn of Africa daily trade",#8B4513,"Somaliland / Hargeisa — central market, women-dominated trade. Daily freshness requirement = tight supply chain."
khat-horn-africa,11.82,42.59,"LAYER 1 — Historical Trade: Horn of Africa daily trade",#8B4513,"Djibouti — transit hub + consumption center. Afternoon khat chewing is near-universal among men."
khat-horn-africa,0.05,37.03,"LAYER 1 — Historical Trade: Horn of Africa daily trade",#8B4513,"Meru County Kenya — 'miraa' export to Somalia + UK diaspora. Major regional economic driver."
khat-modern-trade,51.51,-0.13,"LAYER 1 — Historical Trade: UK diaspora + 2014 ban",#8B4513,"London — Somali diaspora market. UK banned khat 2014 (Class C drug) despite Home Office advisory council recommending no ban."
khat-modern-trade,52.37,4.90,"LAYER 1 — Historical Trade: UK diaspora + 2014 ban",#8B4513,"Amsterdam — major transit hub to UK + US (pre-bans); still legal in Netherlands for personal use."
khat-modern-trade,40.71,-74.00,"LAYER 1 — Historical Trade: UK diaspora + 2014 ban",#8B4513,"NYC — Somali + Yemeni diaspora. Khat is Schedule I in the US; smuggled via frozen shipments."
khat-word-diffusion,9.03,38.75,"LAYER 2 — Language Diffusion: regional names",#7B1FA2,"Amharic — 'ch'at' (ጫት). Ethiopian name."
khat-word-diffusion,0.05,37.03,"LAYER 2 — Language Diffusion: regional names",#7B1FA2,"Swahili / Meru — 'miraa' (grade names muguka, mbaine, alele). Kenyan trade name."
khat-word-diffusion,15.35,44.21,"LAYER 2 — Language Diffusion: regional names",#7B1FA2,"Arabic — 'qāt' (قات). Yemeni + Saudi usage."
khat-word-diffusion,51.51,-0.13,"LAYER 2 — Language Diffusion: regional names",#7B1FA2,"English — 'khat'. Arabic-derived spelling; 'qat' also used."
khat-modern-supply,9.31,42.13,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Harar Ethiopia — world's largest khat production. ~#2 export earner."
khat-modern-supply,0.05,37.03,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Meru Kenya — 'miraa' air-freighted daily to Somalia + Yemeni diaspora."
khat-modern-supply,2.04,45.33,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Mogadishu Somalia — arguably world's largest per-capita khat consumer market."
khat-modern-supply,15.35,44.21,"LAYER 3 — Modern Supply Chain (today)",#6B7280,"Sana'a Yemen — domestic cultivation + consumption; civil war disrupts but has not stopped trade."
